,h3_index,geometry
61,893944603cfffff,"POLYGON ((41.38650100715529 2.1424948324376922, 41.38472300103607 2.1428239421746307, 41.38415456338898 2.1449954418459956, 41.385364140439485 2.1468379273180154, 41.38714218050185 2.146508887680639, 41.387710609571165 2.1443372924688213, 41.38650100715529 2.1424948324376922))"
62,8939446031bffff,"POLYGON ((41.38714218050185 2.146508887680639, 41.385364140439485 2.1468379273180154, 41.38479562599633 2.14900949362243, 41.38600516018662 2.1508521158248515, 41.38778323418689 2.150523146297816, 41.38835174005954 2.1483514844551586, 41.38714218050185 2.146508887680639))"
63,893944603c7ffff,"POLYGON ((41.38948858962292 2.1440081984885606, 41.387710609571165 2.1443372924688213, 41.38714218050185 2.146508887680639, 41.38835174005954 2.1483514844551586, 41.39012975405035 2.1480224605830793, 41.390698174544966 2.1458507698254365, 41.38948858962292 2.1440081984885606))"
64,89394460313ffff,"POLYGON ((41.39012975405035 2.1480224605830793, 41.38835174005954 2.1483514844551586, 41.38778323418689 2.150523146297816, 41.38899275087301 2.1523658798091168, 41.3907707987976 2.152036926055972, 41.39133929610284 2.1498651686697228, 41.39012975405035 2.1480224605830793))"
65,8939446038fffff,"POLYGON ((41.39311728401273 2.149536160567212, 41.39133929610284 2.1498651686697228, 41.3907707987976 2.152036926055972, 41.39198029796714 2.153879770885784, 41.39375831980671 2.153550832910808, 41.394326808547625 2.1513789799756102, 41.39311728401273 2.149536160567212))"
66,89394460387ffff,"POLYGON ((41.39610477036726 2.1510499876469047, 41.394326808547625 2.1513789799756102, 41.39375831980671 2.153550832910808, 41.39496780144725 2.155393789068758, 41.39674579719247 2.1550648668762067, 41.39731427737214 2.1528929183866885, 41.39610477036726 2.1510499876469047))"
67,893944603c3ffff,"POLYGON ((41.388847305536956 2.1399941397963564, 41.38706935942946 2.140323303874042, 41.38650100715529 2.1424948324376922, 41.387710609571165 2.1443372924688213, 41.38948858962292 2.1440081984885606, 41.39005693331513 2.141836574376868, 41.388847305536956 2.1399941397963564))"
68,8939446038bffff,"POLYGON ((41.39247612851991 2.145521691606125, 41.390698174544966 2.1458507698254365, 41.39012975405035 2.1480224605830793, 41.39133929610284 2.1498651686697228, 41.39311728401273 2.149536160567212, 41.39368569593573 2.1473643742583692, 41.39247612851991 2.145521691606125))"
69,893944603bbffff,"POLYGON ((41.39375831980671 2.153550832910808, 41.39198029796714 2.153879770885784, 41.39141172384307 2.1560515948832903, 41.3926211801162 2.1578945764496704, 41.394399235880236 2.1575657086129705, 41.39496780144725 2.155393789068758, 41.39375831980671 2.153550832910808))"
70,89394460317ffff,"POLYGON ((41.3907707987976 2.152036926055972, 41.38899275087301 2.1523658798091168, 41.38842416818881 2.1545376082652443, 41.3896336419899 2.1563804785067306, 41.39141172384307 2.1560515948832903, 41.39198029796714 2.153879770885784, 41.3907707987976 2.152036926055972))"
71,893944603abffff,"POLYGON ((41.39141172384307 2.1560515948832903, 41.3896336419899 2.1563804785067306, 41.389064982485955 2.1585522735589664, 41.39027441338861 2.160395280524041, 41.392052529165106 2.1600664670410294, 41.3926211801162 2.1578945764496704, 41.39141172384307 2.1560515948832903))"
72,89394460307ffff,"POLYGON ((41.38842416818881 2.1545376082652443, 41.38664606025585 2.1548665076711764, 41.38607739219598 2.157038207189641, 41.387286840625556 2.158881102833063, 41.389064982485955 2.1585522735589664, 41.3896336419899 2.1563804785067306, 41.38842416818881 2.1545376082652443))"
73,89394460013ffff,"POLYGON ((41.40655132152621 2.1305153295387513, 41.404773727779805 2.130844733887248, 41.404205819622234 2.133016597976177, 41.405415513808485 2.1348591533103973, 41.407193141496556 2.134529819065747, 41.407761041057285 2.132357859380158, 41.40655132152621 2.1305153295387513))"
74,89394460017ffff,"POLYGON ((41.407193141496556 2.134529819065747, 41.405415513808485 2.1348591533103973, 41.404847528845835 2.137031084118754, 41.406057180161405 2.138873776274034, 41.40783484178594 2.13854451214399, 41.40840281815903 2.136372485741187, 41.407193141496556 2.134529819065747))"
75,89394460003ffff,"POLYGON ((41.404205819622234 2.133016597976177, 41.40242816582187 2.133345947964338, 41.4018601722666 2.1355177831836234, 41.403069841104916 2.137360364000919, 41.404847528845835 2.137031084118754, 41.405415513808485 2.1348591533103973, 41.404205819622234 2.133016597976177))"
76,8939446000fffff,"POLYGON ((41.4018601722666 2.1355177831836234, 41.400082458418616 2.135847078813637, 41.399514379468926 2.1380188851557156, 41.40072402295623 2.1398614914463563, 41.40250177074366 2.139532265924473, 41.403069841104916 2.137360364000919, 41.4018601722666 2.1355177831836234))"
77,89394460077ffff,"POLYGON ((41.399514379468926 2.1380188851557156, 41.397736605579674 2.1383481264297917, 41.397168441238826 2.140519903887062, 41.39837805937206 2.142362535641328, 41.400155867199615 2.1420333644775673, 41.40072402295623 2.1398614914463563, 41.399514379468926 2.1380188851557156))"
78,8939446002bffff,"POLYGON ((41.400155867199615 2.1420333644775673, 41.39837805937206 2.142362535641328, 41.39780981822335 2.1445343797726326, 41.399019393479776 2.1463771483089844, 41.400797235240425 2.1460480472663117, 41.40136546781215 2.143876107563308, 41.400155867199615 2.1420333644775673))"
79,89394460393ffff,"POLYGON ((41.39780981822335 2.1445343797726326, 41.396031950362016 2.144863496580463, 41.39546362382453 2.147035311804301, 41.39667317372171 2.14887810578156, 41.39845107551503 2.148549059096958, 41.399019393479776 2.1463771483089844, 41.39780981822335 2.1445343797726326))"
80,89394460383ffff,"POLYGON ((41.39546362382453 2.147035311804301, 41.39368569593573 2.1473643742583692, 41.39311728401273 2.149536160567212, 41.394326808547625 2.1513789799756102, 41.39610477036726 2.1510499876469047, 41.39667317372171 2.14887810578156, 41.39546362382453 2.147035311804301))"
81,8939446033bffff,"POLYGON ((41.38607739219598 2.157038207189641, 41.384299224261014 2.1573670522505672, 41.38373047082876 2.1595387228238088, 41.384939893883754 2.1613816438594404, 41.38671809574502 2.161052868932496, 41.387286840625556 2.158881102833063, 41.38607739219598 2.157038207189641))"
82,8939446039bffff,"POLYGON ((41.39482235758595 2.1430208393723413, 41.3930444636332 2.1433499719410567, 41.39247612851991 2.145521691606125, 41.39368569593573 2.1473643742583692, 41.39546362382453 2.147035311804301, 41.396031950362016 2.144863496580463, 41.39482235758595 2.1430208393723413))"
83,89394460353ffff,"POLYGON ((41.38351338113878 2.1409815934396215, 41.38173534896141 2.141310718928998, 41.38116690273349 2.1434821230652656, 41.38237649726437 2.1453244972443946, 41.38415456338898 2.1449954418459956, 41.38472300103607 2.1428239421746307, 41.38351338113878 2.1409815934396215))"
84,89394460357ffff,"POLYGON ((41.38415456338898 2.1449954418459956, 41.38237649726437 2.1453244972443946, 41.38180797424765 2.147495968015929, 41.383017525929695 2.149338478919095, 41.38479562599633 2.14900949362243, 41.385364140439485 2.1468379273180154, 41.38415456338898 2.1449954418459956))"
85,89394460303ffff,"POLYGON ((41.38778323418689 2.150523146297816, 41.38600516018662 2.1508521158248515, 41.38543656893919 2.1530237487449564, 41.38664606025585 2.1548665076711764, 41.38842416818881 2.1545376082652443, 41.38899275087301 2.1523658798091168, 41.38778323418689 2.150523146297816))"
86,893944603a3ffff,"POLYGON ((41.394399235880236 2.1575657086129705, 41.3926211801162 2.1578945764496704, 41.392052529165106 2.1600664670410294, 41.39326194252842 2.1619095853373564, 41.39504003221168 2.1615807876497235, 41.39560867461301 2.159408801513856, 41.394399235880236 2.1575657086129705))"
87,893944603a7ffff,"POLYGON ((41.39504003221168 2.1615807876497235, 41.39326194252842 2.1619095853373564, 41.3926932147421 2.164081542505247, 41.39390258518214 2.1659247975248954, 41.39568070877943 2.165596069997086, 41.396249428023246 2.1634240172869297, 41.39504003221168 2.1615807876497235))"
88,8939446016bffff,"POLYGON ((41.39802749160395 2.1630952353989534, 41.396249428023246 2.1634240172869297, 41.39568070877943 2.165596069997086, 41.396890061656315 2.167439436363969, 41.398668159146936 2.1671107246444166, 41.39923686985133 2.1649385763866476, 41.39802749160395 2.1630952353989534))"
89,8939446036fffff,"POLYGON ((41.37775509026952 2.1565108118923093, 41.37597681022829 2.156839634179936, 41.37540795432267 2.1590110847792316, 41.376617387012516 2.160853808595919, 41.37839570098714 2.1605250564272396, 41.37896454833908 2.158353510320028, 41.37775509026952 2.1565108118923093))"
90,89394461d8fffff,"POLYGON ((41.376688834577315 2.167039769931256, 41.37491042669803 2.167368397633988, 41.37434133180913 2.1695399523508754, 41.37555065333502 2.1713829748579756, 41.37732909513612 2.1710544172978192, 41.37789818149011 2.168882767085099, 41.376688834577315 2.167039769931256))"
91,89394460e73ffff,"POLYGON ((41.38693223729525 2.179614045918083, 41.38515383979111 2.179942485847972, 41.384584616795394 2.1821144600482194, 41.38579379981554 2.183958089823097, 41.38757223121868 2.183629720083104, 41.388141445703276 2.1814576503754592, 41.38693223729525 2.179614045918083))"
92,89394460e63ffff,"POLYGON ((41.384584616795394 2.1821144600482194, 41.38280615930765 2.182442845626755, 41.38223685094157 2.1846147907910027, 41.38344600857077 2.186458445873659, 41.385224499956394 2.1861301304871636, 41.38579379981554 2.183958089823097, 41.384584616795394 2.1821144600482194))"
93,89394460e1bffff,"POLYGON ((41.39162704219442 2.174612967517136, 41.38984876467662 2.174941516156336, 41.38927971243149 2.1771135484059396, 41.390488946224316 2.1789571275360755, 41.392267257643404 2.178628649082481, 41.392836301369 2.1764565213102958, 41.39162704219442 2.174612967517136))"
94,89394460e13ffff,"POLYGON ((41.39461455278649 2.1761279884966296, 41.392836301369 2.1764565213102958, 41.392267257643404 2.178628649082481, 41.393476473852374 2.180472339566088, 41.39525475916704 2.1801438769466337, 41.395823794376184 2.177971653646495, 41.39461455278649 2.1761279884966296))"
95,89394460e17ffff,"POLYGON ((41.39525475916704 2.1801438769466337, 41.393476473852374 2.180472339566088, 41.392907353257876 2.1826445338301035, 41.3941165264878 2.184488360997497, 41.395894845694386 2.1841599685830184, 41.39646395777971 2.181987678793311, 41.39525475916704 2.1801438769466337))"
96,89394460ebbffff,"POLYGON ((41.39824221698064 2.1816592320122714, 41.39646395777971 2.181987678793311, 41.395894845694386 2.1841599685830184, 41.39710400131666 2.1860039071198436, 41.3988822944054 2.1856755305523827, 41.39945139798463 2.1835031452316493, 41.39824221698064 2.1816592320122714))"
97,89394460e8fffff,"POLYGON ((41.39760201968404 2.177643136662637, 41.395823794376184 2.177971653646495, 41.39525475916704 2.1801438769466337, 41.39646395777971 2.181987678793311, 41.39824221698064 2.1816592320122714, 41.398811243676406 2.179486913178849, 41.39760201968404 2.177643136662637))"
